name,votes,percentage
民主進步黨,4811241.0,33.9774
中國國民黨,4723504.0,33.3578
台灣民眾黨,1588806.0,11.2203
時代力量,1098100.0,7.7549
親民黨,518921.0,3.6647
台灣基進,447286.0,3.1588
其他,972280.0,6.866100000000003
