,votes,party,percentage
朱立倫、王如玄,3813365,中國國民黨推薦,0.3104
蔡英文、陳建仁,6894744,民主進步黨推薦,0.5612
宋楚瑜、徐欣瑩,1576861,親民黨推薦,0.1284
total,12284970,X,1.0
