,votes,party,percentage
宋楚瑜、余湘,608590,親民黨推薦,0.0426
韓國瑜、張善政,5522119,中國國民黨推薦,0.3861
蔡英文、賴清德,8170231,民主進步黨推薦,0.5713
total,14300940,0,1.0
