number,candidate,party,votes,percentage
1,"柯文哲, 吳欣盈",台灣民眾黨推薦,3690466,0.2646
2,"賴清德, 蕭美琴",民主進步黨推薦,5586019,0.4005
3,"侯友宜, 趙少康",中國國民黨推薦,4671021,0.3349
