,votes,party,percentage
蔡英文、蘇嘉全,6093578,民主進步黨推薦,0.4563
馬英九、吳敦義,6891139,中國國民黨推薦,0.516
宋楚瑜、林瑞雄,369588,無黨籍,0.0277
total,13354305,X,1.0
