政黨名稱,政黨得票數,政黨得票比率%
中國國民黨,5010801,51.2322
民主進步黨,3610106,36.911
新黨,386660,3.9533
台灣團結聯盟,344887,3.5262
紅黨,77870,0.7962
無黨團結聯盟,68527,0.7006
綠黨,58473,0.5978
台灣農民黨,57144,0.5843
公民黨,48192,0.4927
第三社會黨,45594,0.4662
客家黨,42004,0.4295
制憲聯盟,30315,0.31
