,蔡英文、蘇嘉全,馬英九、吳敦義,宋楚瑜、林瑞雄,total
,,,,
,,,,
總計,"6,093,578","6,891,139","369,588","13,354,305"
政黨,民主進步黨推薦,中國國民黨推薦,無黨籍,X
