政黨名稱,政黨得票數,政黨得票比率%
中國國民黨,5863279,44.5468
民主進步黨,4556424,34.6178
台灣團結聯盟,1178797,8.956
親民黨,722089,5.4861
綠黨,229566,1.7441
新黨,195960,1.4888
健保免費連線,163344,1.241
台灣國民會議,118632,0.9013
人民最大黨,84818,0.6444
台灣主義黨,29889,0.2271
中華民國臺灣基本法連線,19274,0.1464
