name,votes,percentage
民主進步黨,5370953.0,44.0598
中國國民黨,3280949.0,26.9148
親民黨,794838.0,6.5203
時代力量,744315.0,6.1059
新黨,510074.0,4.1843
其他,1489010.0,12.214899999999972
