政黨名稱,政黨得票數,政黨得票比率%
民主進步黨,5370953,44.0598
中國國民黨,3280949,26.9148
親民黨,794838,6.5203
時代力量,744315,6.1059
新黨,510074,4.1843
綠黨社會民主黨聯盟,308106,2.5275
台灣團結聯盟,305675,2.5076
信心希望聯盟,206629,1.6951
民國黨,197627,1.6212
軍公教聯盟黨,87213,0.7154
無黨團結聯盟,77672,0.6372
樹黨,77174,0.6331
中華統一促進黨,56347,0.4622
健保免費連線,51024,0.4186
自由台灣黨,47988,0.3937
和平鴿聯盟黨,30617,0.2512
台灣獨立黨,27496,0.2256
大愛憲改聯盟,15442,0.1267
