,朱立倫、王如玄,蔡英文、陳建仁,宋楚瑜、徐欣瑩,total
,,,,
,,,,
總計,"3,813,365","6,894,744","1,576,861","12,284,970"
政黨,中國國民黨推薦,民主進步黨推薦,親民黨推薦,X
